timestamp,previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.landing_gear,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,previous.disable_weather_vane,previous._padding0[0],previous._padding0[1],previous._padding0[2],previous._padding0[3],previous._padding0[4],previous._padding0[5],previous._padding0[6],current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.landing_gear,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,current.disable_weather_vane,current._padding0[0],current._padding0[1],current._padding0[2],current._padding0[3],current._padding0[4],current._padding0[5],current._padding0[6],next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.landing_gear,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force,next.disable_weather_vane,next._padding0[0],next._padding0[1],next._padding0[2],next._padding0[3],next._padding0[4],next._padding0[5],next._padding0[6]
3316414,3316407,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3316410,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3316413,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
243454893,243429733,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,243434419,32.38799378084822,-117.07493124633804,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,-1.3267405,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,243444819,32.3878225,-117.0760203,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
247864068,243434419,32.38799378084822,-117.07493124633804,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,-1.3267405,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,247859434,32.3878225,-117.0760203,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,247862832,32.3878288,-117.0750427,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
270415499,247859434,32.3878225,-117.0760203,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,270399421,32.3878288,-117.0750427,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,270413322,32.3884392,-117.075058,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
291878908,270399421,32.3878288,-117.0750427,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,291864282,32.3884392,-117.075058,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,291877177,32.388425999999995,-117.075994,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
306938986,291864282,32.3884392,-117.075058,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,306920246,32.388425999999995,-117.075994,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,306934034,32.387859299999995,-117.0759875,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
326309419,306920246,32.388425999999995,-117.075994,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,326276210,32.387859299999995,-117.0759875,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,326306131,32.3878632,-117.07508089999999,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
340330131,326276210,32.387859299999995,-117.0759875,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,340299161,32.3878632,-117.07508089999999,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,340327645,32.388401,-117.0750961,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
358902494,340299161,32.3878632,-117.07508089999999,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,358884238,32.388401,-117.0750961,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,358898171,32.3883934,-117.0759583,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
372360794,358884238,32.388401,-117.0750961,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,372341430,32.3883934,-117.0759583,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,372358439,32.3878937,-117.0759506,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
390340313,372341430,32.3883934,-117.0759583,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,390295865,32.3878937,-117.0759506,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,390338200,32.3879089,-117.07513429999999,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
402947246,390295865,32.3878937,-117.0759506,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,402923428,32.3879089,-117.07513429999999,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,402945862,32.3883566,-117.0751487,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
420072654,402923428,32.3879089,-117.07513429999999,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,420053861,32.3883566,-117.0751487,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,420071144,32.3883438,-117.07592009999999,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
431605811,420053861,32.3883566,-117.0751487,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,431573884,32.3883438,-117.07592009999999,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,431596110,32.38794,-117.07590809999999,0.0,0.0,0.0,0.0,0.0,0.0,39.736893,nan,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
432788127,432785464,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,432788120,32.388364867566786,-117.07515345872274,0.0,0.0,0.0,0.0,0.0,0.0,49.736893,-0.58055216,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,432785469,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
438638486,432785464,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,438638480,32.38789233813559,-117.07453060477621,0.0,0.0,0.0,0.0,0.0,0.0,49.736893,2.2981184,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,432785469,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
455456506,432785464,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,455456500,32.38789233813559,-117.07453060477621,0.0,0.0,0.0,0.0,0.0,0.0,19.73689,-0.19855416,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,432785469,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
497312148,497312141,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,497312143,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,497312146,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
497472271,497472264,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,497472267,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,497472270,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
497692144,497692137,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,497692140,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,497692142,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
497856921,497856914,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,497856917,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,497856919,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
